1670263367.380684,left
1670263367.380684,right
1670263382.956328,left
1670263382.956328,right
1670263388.636224,left
1670263388.636224,right
1670263394.335414,left
1670263394.335414,right
1670263399.999973,left
1670263399.999973,right
1670263405.677777,left
1670263405.677777,right
1670263411.374001,left
1670263411.374001,right
1670263417.061452,left
1670263417.061452,right
1670263422.753802,left
1670263422.753802,right
1670263428.456529,left
1670263428.456529,right
1670263434.152355,left
1670263434.152355,right
1670263439.84169,left
1670263439.84169,right
1670263445.543844,left
1670263445.543844,right
1670263451.238005,left
1670263451.238005,right
1670263456.894775,left
1670263456.894775,right
1670263462.604575,left
1670263462.604575,right
1670263468.305602,left
1670263468.305602,right
1670263473.988422,left
1670263473.988422,right
1670263479.685802,left
1670263479.685802,right
1670263485.384083,left
1670263485.384083,right
1670263491.064348,left
1670263491.064348,right
1670263496.742233,left
1670263496.742233,right
